title,category,claude_disruption,claude_elasticity,claude_net_effect,opus_disruption,opus_elasticity,opus_net_effect,openai_disruption,openai_elasticity,openai_net_effect,gpt55_disruption,gpt55_elasticity,gpt55_net_effect,fable5_disruption,fable5_elasticity,fable5_net_effect,grok45_disruption,grok45_elasticity,grok45_net_effect
Court reporters and simultaneous captioners,legal,8,3,replace,8,3,replace,6,3,resilient,9,4,replace,9,2,replace,8,3,replace
Craft and fine artists,arts-and-design,7,8,augment,5,5,resilient,4,5,resilient,6,5,resilient,5,4,resilient,5,4,resilient
Credit counselors,business-and-financial,7,6,restructure,7,5,restructure,6,5,resilient,7,5,restructure,7,4,replace,7,5,restructure
Dancers and choreographers,entertainment-and-sports,3,6,resilient,1,4,resilient,2,5,resilient,5,5,resilient,2,4,resilient,4,5,resilient
Delivery truck drivers and driver/sales workers,transportation-and-material-moving,4,6,resilient,2,7,resilient,3,7,resilient,5,7,resilient,4,6,resilient,3,8,resilient
Dental and ophthalmic laboratory technicians and medical appliance technicians,production,6,3,restructure,3,4,resilient,5,4,resilient,6,5,resilient,4,3,resilient,5,4,resilient
Dental assistants,healthcare,3,2,resilient,2,4,resilient,3,4,resilient,3,4,resilient,2,4,resilient,3,5,resilient
Dentists,healthcare,4,6,resilient,3,5,resilient,3,4,resilient,4,6,resilient,3,4,resilient,5,5,resilient
Desktop publishers,office-and-administrative-support,9,2,replace,9,2,replace,8,3,replace,9,4,replace,9,2,replace,9,3,replace
Diagnostic medical sonographers,healthcare,6,8,augment,4,6,resilient,4,5,resilient,5,6,resilient,4,6,resilient,5,6,resilient
Diesel service technicians and mechanics,installation-maintenance-and-repair,3,2,resilient,3,4,resilient,3,2,resilient,4,3,resilient,3,4,resilient,4,3,resilient
Dietitians and nutritionists,healthcare,6,7,augment,5,6,resilient,5,6,resilient,7,8,augment,6,6,resilient,6,6,resilient
Editors,media-and-communication,8,6,restructure,8,5,restructure,8,6,restructure,9,6,restructure,8,4,replace,8,5,restructure
Electrical and electronic engineering technologists and technicians,architecture-and-engineering,6,5,resilient,5,5,resilient,5,4,resilient,6,5,resilient,4,5,resilient,5,5,resilient
Electrical and electronics engineers,architecture-and-engineering,7,8,augment,7,7,augment,6,7,augment,7,6,restructure,7,7,augment,7,8,augment
Electrical and electronics installers and repairers,installation-maintenance-and-repair,3,2,resilient,3,4,resilient,3,3,resilient,4,4,resilient,3,5,resilient,3,3,resilient
Electrical power-line installers and repairers,installation-maintenance-and-repair,3,4,resilient,2,6,resilient,2,4,resilient,3,6,resilient,2,6,resilient,3,5,resilient
Electricians,construction-and-extraction,3,6,resilient,2,6,resilient,3,4,resilient,3,6,resilient,3,6,resilient,3,5,resilient
Electro-mechanical and mechatronics technologists and technicians,architecture-and-engineering,5,6,resilient,4,5,resilient,5,4,resilient,6,6,resilient,3,6,resilient,5,5,resilient
Elevator and escalator installers and repairers,construction-and-extraction,3,2,resilient,2,3,resilient,3,3,resilient,3,3,resilient,2,3,resilient,3,4,resilient
Emergency management directors,management,5,3,resilient,5,3,resilient,5,4,resilient,6,5,resilient,5,3,resilient,5,5,resilient
EMTs and paramedics,healthcare,3,2,resilient,2,4,resilient,3,5,resilient,4,3,resilient,2,3,resilient,4,3,resilient
Environmental engineering technologists and technicians,architecture-and-engineering,6,4,resilient,4,5,resilient,5,4,resilient,5,5,resilient,4,4,resilient,5,5,resilient
Environmental engineers,architecture-and-engineering,6,7,augment,6,5,resilient,5,6,resilient,6,5,resilient,6,5,resilient,7,6,restructure
Environmental scientists and specialists,life-physical-and-social-science,6,7,augment,6,5,resilient,5,6,resilient,6,5,resilient,6,5,resilient,7,7,augment
Epidemiologists,life-physical-and-social-science,7,8,augment,6,6,resilient,6,7,augment,7,6,restructure,7,5,restructure,7,6,restructure
Exercise physiologists,healthcare,5,7,resilient,4,6,resilient,4,6,resilient,5,7,resilient,4,5,resilient,5,6,resilient
Fashion designers,arts-and-design,7,6,restructure,7,6,restructure,6,7,augment,8,6,restructure,7,5,restructure,7,7,augment
Film and video editors and camera operators,media-and-communication,8,7,augment,7,7,augment,7,7,augment,7,7,augment,7,6,restructure,7,8,augment
Financial examiners,business-and-financial,7,3,replace,7,5,restructure,7,5,restructure,8,5,restructure,8,5,restructure,7,4,replace
Fire inspectors,protective-service,4,3,resilient,3,4,resilient,3,4,resilient,5,5,resilient,3,4,resilient,5,3,resilient
Firefighters,protective-service,2,1,resilient,2,3,resilient,2,3,resilient,3,2,resilient,1,3,resilient,3,3,resilient
Fishing and hunting workers,farming-fishing-and-forestry,2,1,resilient,1,2,resilient,2,1,resilient,3,2,resilient,1,2,resilient,2,1,resilient
Fitness trainers and instructors,personal-care-and-service,4,7,resilient,3,6,resilient,3,7,resilient,5,7,resilient,3,6,resilient,4,7,resilient
Flight attendants,transportation-and-material-moving,3,2,resilient,1,4,resilient,2,1,resilient,3,2,resilient,2,3,resilient,3,3,resilient
Floral designers,arts-and-design,3,2,resilient,2,3,resilient,3,2,resilient,4,4,resilient,2,3,resilient,4,3,resilient
Food and beverage serving and related workers,food-preparation-and-serving,3,6,resilient,2,4,resilient,3,5,resilient,5,4,resilient,3,4,resilient,3,6,resilient
Food preparation workers,food-preparation-and-serving,3,2,resilient,2,3,resilient,2,1,resilient,3,4,resilient,1,3,resilient,3,4,resilient
Food processing equipment workers,production,3,2,resilient,2,3,resilient,3,4,resilient,4,3,resilient,3,3,resilient,3,3,resilient
Food service managers,management,4,3,resilient,4,4,resilient,5,5,resilient,5,4,resilient,4,4,resilient,5,5,resilient
Forensic science technicians,life-physical-and-social-science,6,3,resilient,5,4,resilient,5,6,resilient,6,5,resilient,4,6,resilient,5,5,resilient
Forest and conservation workers,farming-fishing-and-forestry,3,2,resilient,2,3,resilient,2,3,resilient,3,5,resilient,1,3,resilient,3,3,resilient
Fundraisers,business-and-financial,6,7,augment,7,6,restructure,6,7,augment,7,5,restructure,7,5,restructure,7,7,augment
Funeral service workers,personal-care-and-service,3,1,resilient,3,2,resilient,3,3,resilient,4,2,resilient,3,2,resilient,4,2,resilient
Gambling services workers,personal-care-and-service,3,2,resilient,3,3,resilient,5,3,resilient,4,3,resilient,3,3,resilient,3,4,resilient
General maintenance and repair workers,installation-maintenance-and-repair,3,2,resilient,2,4,resilient,2,3,resilient,3,5,resilient,2,6,resilient,3,4,resilient
Genetic counselors,healthcare,6,8,augment,6,8,resilient,6,7,augment,7,7,augment,7,8,augment,7,8,augment
Geographers,life-physical-and-social-science,7,4,replace,8,3,replace,6,4,resilient,7,4,replace,7,5,restructure,7,4,replace
Geological and hydrologic technicians,life-physical-and-social-science,5,3,resilient,5,4,resilient,5,4,resilient,6,5,resilient,4,4,resilient,5,4,resilient
Graphic designers,arts-and-design,8,6,restructure,9,6,restructure,8,7,augment,9,6,restructure,8,5,restructure,8,7,augment
Grounds maintenance workers,building-and-grounds-cleaning,2,6,resilient,1,4,resilient,1,3,resilient,2,5,resilient,1,4,resilient,2,4,resilient
Hand laborers and material movers,transportation-and-material-moving,2,3,resilient,2,3,resilient,3,3,resilient,4,4,resilient,3,3,resilient,3,5,resilient
Hazardous materials removal workers,construction-and-extraction,3,2,resilient,2,3,resilient,2,2,resilient,3,5,resilient,2,3,resilient,3,3,resilient
Health and safety engineers,architecture-and-engineering,6,3,resilient,5,4,resilient,5,4,resilient,6,5,resilient,5,4,resilient,5,4,resilient
Health education specialists,community-and-social-service,6,8,augment,6,6,resilient,5,6,resilient,7,6,restructure,6,5,resilient,7,7,augment
Health information technologists and medical registrars,healthcare,8,3,replace,8,5,restructure,8,7,augment,8,6,restructure,8,5,restructure,8,6,restructure
"Heating, air conditioning, and refrigeration mechanics and installers",installation-maintenance-and-repair,3,4,resilient,2,5,resilient,3,5,resilient,3,5,resilient,2,6,resilient,3,4,resilient
Heavy and tractor-trailer truck drivers,transportation-and-material-moving,6,3,resilient,3,6,resilient,3,3,resilient,7,4,replace,5,4,resilient,5,5,resilient
Heavy vehicle and mobile equipment service technicians,installation-maintenance-and-repair,3,4,resilient,2,4,resilient,3,4,resilient,3,3,resilient,2,5,resilient,4,3,resilient
High school teachers,education-training-and-library,6,8,augment,5,3,resilient,6,5,resilient,7,5,restructure,6,3,resilient,7,5,restructure
Historians,life-physical-and-social-science,6,4,resilient,7,3,replace,6,4,resilient,8,4,replace,7,3,replace,7,5,restructure
Home health and personal care aides,healthcare,3,8,resilient,2,8,resilient,2,8,resilient,3,8,resilient,1,6,resilient,3,8,resilient
Human resources managers,management,7,4,replace,6,4,resilient,6,5,resilient,7,5,restructure,6,3,resilient,7,5,restructure
Human resources specialists,business-and-financial,7,4,replace,7,4,replace,6,5,resilient,7,4,replace,7,3,replace,7,5,restructure
Hydrologists,life-physical-and-social-science,6,4,resilient,6,4,resilient,5,4,resilient,7,5,restructure,5,4,resilient,5,4,resilient
Industrial designers,arts-and-design,8,7,augment,7,6,restructure,7,6,restructure,7,6,restructure,7,5,restructure,7,7,augment
Industrial engineering technologists and technicians,architecture-and-engineering,7,5,restructure,6,5,resilient,6,5,resilient,6,5,resilient,6,5,resilient,7,5,restructure
Industrial engineers,architecture-and-engineering,7,6,restructure,6,7,resilient,6,7,augment,7,6,restructure,6,7,resilient,7,7,augment
"Industrial machinery mechanics, machinery maintenance workers, and millwrights",installation-maintenance-and-repair,3,4,resilient,3,6,resilient,3,5,resilient,4,6,resilient,3,6,resilient,3,5,resilient
Industrial production managers,management,6,3,resilient,5,3,resilient,6,5,resilient,6,4,resilient,5,3,resilient,5,4,resilient
Instructional coordinators,education-training-and-library,7,6,restructure,6,4,resilient,6,5,resilient,7,5,restructure,7,4,replace,7,5,restructure
Insulation workers,construction-and-extraction,2,3,resilient,1,4,resilient,1,3,resilient,2,5,resilient,1,4,resilient,2,4,resilient
Insurance sales agents,sales,6,4,resilient,7,4,replace,6,5,resilient,7,4,replace,7,3,replace,7,4,replace
Interior designers,arts-and-design,7,6,restructure,7,6,restructure,6,7,augment,7,6,restructure,7,5,restructure,7,6,restructure
Interpreters and translators,media-and-communication,8,6,restructure,8,4,replace,7,5,restructure,8,6,restructure,9,3,replace,7,5,restructure
Ironworkers,construction-and-extraction,2,3,resilient,1,4,resilient,1,2,resilient,2,4,resilient,1,4,resilient,3,4,resilient
Janitors and building cleaners,building-and-grounds-cleaning,3,2,resilient,1,3,resilient,1,1,resilient,3,3,resilient,1,3,resilient,2,3,resilient
Jewelers and precious stone and metal workers,production,5,4,resilient,3,4,resilient,3,2,resilient,5,4,resilient,3,3,resilient,4,4,resilient
Judges and hearing officers,legal,4,2,resilient,5,3,resilient,4,3,resilient,7,3,replace,6,3,resilient,5,3,resilient
Kindergarten and elementary school teachers,education-training-and-library,6,8,augment,4,3,resilient,5,6,resilient,6,6,resilient,4,3,resilient,5,4,resilient
Labor relations specialists,business-and-financial,6,3,resilient,6,3,resilient,6,3,resilient,7,4,replace,5,3,resilient,7,4,replace
Landscape architects,architecture-and-engineering,6,7,augment,6,5,resilient,5,5,resilient,7,5,restructure,6,6,resilient,7,5,restructure
Lawyers,legal,7,4,replace,8,4,replace,6,3,resilient,8,4,replace,7,4,replace,7,4,replace
Librarians and library media specialists,education-training-and-library,6,4,resilient,6,4,resilient,5,4,resilient,7,4,replace,6,3,resilient,5,4,resilient
Library technicians and assistants,education-training-and-library,7,2,replace,6,2,resilient,5,3,resilient,7,2,replace,6,2,resilient,7,3,replace
Licensed practical and licensed vocational nurses,healthcare,4,8,resilient,3,6,resilient,4,5,resilient,4,6,resilient,3,7,resilient,4,5,resilient
Loan officers,business-and-financial,7,3,replace,8,4,replace,7,5,restructure,7,4,replace,8,3,replace,7,4,replace
Lodging managers,management,5,3,resilient,4,4,resilient,5,4,resilient,6,3,resilient,5,4,resilient,5,4,resilient
Logging workers,farming-fishing-and-forestry,2,3,resilient,2,3,resilient,2,2,resilient,3,3,resilient,1,3,resilient,3,2,resilient
Logisticians,business-and-financial,7,6,restructure,7,6,restructure,6,7,augment,7,6,restructure,7,6,restructure,7,7,augment
Machinists and tool and die makers,production,4,3,resilient,4,4,resilient,5,3,resilient,5,4,resilient,4,5,resilient,5,4,resilient
Management analysts,business-and-financial,8,7,augment,7,6,restructure,7,6,restructure,8,6,restructure,8,6,restructure,7,7,augment
Manicurists and pedicurists,personal-care-and-service,2,4,resilient,1,3,resilient,2,5,resilient,2,5,resilient,1,4,resilient,2,5,resilient
Marine engineers and naval architects,architecture-and-engineering,7,5,restructure,6,5,resilient,6,5,resilient,7,5,restructure,6,4,resilient,7,5,restructure
Market research analysts,business-and-financial,8,7,augment,8,6,restructure,8,7,augment,8,6,restructure,8,6,restructure,8,7,augment
Marriage and family therapists,community-and-social-service,4,8,resilient,4,7,resilient,4,5,resilient,7,8,augment,4,8,resilient,5,8,resilient
Masonry workers,construction-and-extraction,2,3,resilient,1,3,resilient,1,2,resilient,3,4,resilient,1,4,resilient,2,4,resilient
Massage therapists,healthcare,2,7,resilient,1,5,resilient,1,3,resilient,2,6,resilient,1,5,resilient,3,5,resilient
Material moving machine operators,transportation-and-material-moving,4,2,resilient,3,4,resilient,3,3,resilient,5,3,resilient,5,3,resilient,4,4,resilient
Materials engineers,architecture-and-engineering,6,7,augment,7,6,restructure,6,5,resilient,7,6,restructure,6,6,resilient,7,7,augment
Mathematicians and statisticians,math,8,7,augment,8,7,augment,8,7,augment,8,6,restructure,8,6,restructure,8,7,augment
Mechanical engineers,architecture-and-engineering,6,7,augment,7,7,augment,6,7,augment,7,6,restructure,6,7,resilient,7,7,augment
Medical and health services managers,management,6,7,augment,6,6,resilient,6,7,augment,6,5,resilient,6,5,resilient,7,6,restructure
Medical assistants,healthcare,5,6,resilient,4,7,resilient,4,6,resilient,5,5,resilient,4,6,resilient,5,5,resilient
Medical dosimetrists,healthcare,7,2,replace,7,3,replace,6,4,resilient,8,3,replace,8,3,replace,8,3,replace
Medical equipment repairers,installation-maintenance-and-repair,4,3,resilient,3,5,resilient,4,5,resilient,4,5,resilient,3,4,resilient,4,5,resilient
"Meeting, convention, and event planners",business-and-financial,6,7,augment,5,5,resilient,6,7,augment,6,6,resilient,6,5,resilient,6,6,resilient
Metal and plastic machine workers,production,5,2,resilient,3,3,resilient,5,3,resilient,6,4,resilient,4,3,resilient,5,4,resilient
Microbiologists,life-physical-and-social-science,6,7,augment,5,6,resilient,6,5,resilient,6,6,resilient,5,6,resilient,7,7,augment
Middle school teachers,education-training-and-library,6,8,augment,4,3,resilient,6,7,augment,6,4,resilient,6,3,resilient,7,5,restructure
Military careers,military,4,2,resilient,4,3,resilient,3,2,resilient,6,2,resilient,4,4,resilient,5,2,resilient
Models,sales,8,3,replace,8,3,replace,4,3,resilient,7,4,replace,8,2,replace,7,3,replace
Music directors and composers,entertainment-and-sports,6,7,augment,6,6,resilient,6,5,resilient,7,6,restructure,6,4,resilient,7,5,restructure
Musicians and singers,entertainment-and-sports,6,8,augment,4,5,resilient,5,7,resilient,6,5,resilient,5,4,resilient,5,6,resilient
Natural sciences managers,management,6,4,resilient,6,6,resilient,6,5,resilient,7,5,restructure,6,5,resilient,7,5,restructure
Network and computer systems administrators,computer-and-information-technology,7,3,replace,8,4,replace,7,4,restructure,8,4,replace,7,3,replace,7,3,replace
"News analysts, reporters, and journalists",media-and-communication,8,4,replace,8,4,replace,7,6,restructure,8,4,replace,7,3,replace,7,4,replace
Nuclear engineers,architecture-and-engineering,6,3,resilient,6,5,resilient,6,3,resilient,6,4,resilient,5,4,resilient,7,5,restructure
Nuclear medicine technologists,healthcare,4,2,resilient,3,3,resilient,4,3,resilient,4,4,resilient,3,3,resilient,5,3,resilient
Nursing assistants and orderlies,healthcare,3,8,resilient,2,7,resilient,3,4,resilient,3,7,resilient,1,5,resilient,3,5,resilient
Occupational therapists,healthcare,4,8,resilient,3,6,resilient,3,6,resilient,4,6,resilient,3,6,resilient,5,6,resilient
Occupational therapy assistants and aides,healthcare,3,8,resilient,2,6,resilient,3,5,resilient,4,6,resilient,2,4,resilient,3,4,resilient
Oil and gas workers,construction-and-extraction,3,2,resilient,2,3,resilient,3,3,resilient,4,2,resilient,2,3,resilient,3,3,resilient
Opticians,healthcare,5,3,resilient,4,3,resilient,3,4,resilient,4,4,resilient,3,4,resilient,4,4,resilient
Optometrists,healthcare,6,7,augment,4,5,resilient,4,5,resilient,6,5,resilient,4,5,resilient,5,4,resilient
Orthotists and prosthetists,healthcare,4,6,resilient,4,6,resilient,4,6,resilient,5,6,resilient,3,5,resilient,5,6,resilient
"Painters, construction and maintenance",construction-and-extraction,2,3,resilient,1,3,resilient,1,2,resilient,2,5,resilient,1,4,resilient,2,4,resilient
Painting and coating workers,production,3,2,resilient,2,3,resilient,3,2,resilient,4,2,resilient,2,3,resilient,3,3,resilient
Personal financial advisors,business-and-financial,7,6,restructure,7,6,restructure,7,6,restructure,7,6,restructure,7,6,restructure,7,7,augment
Pest control workers,building-and-grounds-cleaning,3,2,resilient,2,3,resilient,2,3,resilient,3,5,resilient,2,4,resilient,3,5,resilient
Petroleum engineers,architecture-and-engineering,6,2,resilient,6,3,resilient,5,3,resilient,7,3,replace,5,3,resilient,7,4,replace
Pharmacists,healthcare,6,4,resilient,6,4,resilient,4,3,resilient,7,5,restructure,5,3,resilient,7,5,restructure
Pharmacy technicians,healthcare,6,3,resilient,5,5,resilient,5,4,resilient,5,3,resilient,5,3,resilient,5,4,resilient
Phlebotomists,healthcare,3,2,resilient,2,3,resilient,3,4,resilient,3,4,resilient,1,5,resilient,3,4,resilient
Photographers,media-and-communication,7,6,restructure,6,4,resilient,6,5,resilient,6,6,resilient,6,3,resilient,5,6,resilient
Physical therapist assistants and aides,healthcare,3,8,resilient,2,7,resilient,3,5,resilient,4,6,resilient,2,6,resilient,3,6,resilient
Physical therapists,healthcare,4,7,resilient,3,6,resilient,3,6,resilient,5,6,resilient,3,6,resilient,5,7,resilient
Physician assistants,healthcare,6,8,resilient,5,8,resilient,4,6,resilient,6,7,resilient,5,7,resilient,5,7,resilient
Physicians and surgeons,healthcare,5,8,resilient,5,7,resilient,5,4,resilient,6,6,resilient,5,7,resilient,5,7,resilient
Physicists and astronomers,life-physical-and-social-science,7,6,restructure,7,6,restructure,6,5,resilient,7,5,restructure,7,5,restructure,8,7,augment
Podiatrists,healthcare,4,3,resilient,3,4,resilient,3,2,resilient,4,5,resilient,3,3,resilient,5,4,resilient
Police and detectives,protective-service,4,2,resilient,4,3,resilient,5,3,resilient,5,3,resilient,4,3,resilient,5,4,resilient
